id,price
100000,4353101.684091084
100001,12605136.237589667
100002,1884546.1784722456
100003,14496901.500301467
100004,3925495.1209350303
100005,3579036.836553029
100006,-88005.57743243407
100007,4286136.100777752
100008,5849273.620928951
100009,2087707.820836654
100010,3651125.527559164
100011,4000504.4732331736
100012,11331998.692405336
100013,3824691.2493926077
100014,20124607.49580571
100015,6695565.289032446
100016,2547232.511548069
100017,2900371.4443834806
100018,2961721.156147257
100019,3962536.1152820764
100020,2026693.9658154524
100021,4628697.260265
100022,10679721.659568276
100023,2710459.835150571
100024,2394387.612209124
100025,7812531.943419604
100026,2444406.0477535916
100027,3306417.4788875887
100028,5332227.722917416
100029,9775870.946060928
100030,7150895.127341737
100031,1109309.9697522516
100032,5412776.029562187
100033,5841623.152774658
100034,3847407.0691130087
100035,3574345.481934907
100036,3279764.4984143316
100037,2035070.607914546
100038,2942723.0964036663
100039,3221705.4827841474
100040,4321519.957185175
100041,3707274.5502868854
100042,4268270.467794308
100043,4145985.9676343575
100044,6094260.314075358
100045,2750721.573835635
100046,3383165.168813574
100047,4887610.543938429
100048,5595981.047045709
100049,2106017.3381380863
100050,1545158.1999502094
100051,3606807.729702661
100052,4100615.313202409
100053,3115478.4502292406
100054,4624145.406122881
100055,4061505.635931172
100056,2935394.9924106905
100057,5201158.245905033
100058,2029416.6683718488
100059,6376778.117394961
100060,3782256.8908994263
100061,4738719.691592634
100062,6069086.177226673
100063,3951519.178426952
100064,4530169.681911439
100065,4158534.4977874295
100066,3011561.9644453716
100067,3106551.930655135
100068,2453678.394778049
100069,2303748.7303626724
100070,3398246.2598195896
100071,3516671.955685596
100072,6702683.333692946
100073,29886632.841322962
100074,6059008.40800393
100075,3540006.4618964
100076,12549263.206289371
100077,3146031.4198728893
100078,6485665.353253906
100079,2160255.2881908338
100080,3330517.0491318298
100081,4170672.181648965
100082,3493412.3802594324
100083,4611770.28906854
100084,1909417.0531881065
100085,4613914.919819029
100086,2075100.0551309087
100087,3043588.9650889263
100088,7764762.301966533
100089,1292104.530732573
100090,5179754.668351833
100091,9913929.881595667
100092,3209363.1970094237
